Name,MOID(AU)
73P-B/Schwassmann-Wachmann B,0.5922023127363236
73P-BT/Schwassmann-Wachmann,0.5924119255792881
73P-C/Schwassmann-Wachmann,0.592536233861692
C/1995 O1 (Hale-Bopp),0.5963742387642383
41P/Tuttle-Giacobini-Kresak,0.5981758956880516
C/2023 H2 (Lemmon),0.5982789447026315
73P-S/Schwassmann-Wachmann,0.6001195224340534
185P/Petriew,0.6095952783265349
73P-BW/Schwassmann-Wachmann,0.6128438076568679
C/2019 Y1 (ATLAS),0.6162533056870625
C/2021 P4 (ATLAS),0.6167003595363186
320P/McNaught,0.6270255944091865
26P/Grigg-Skjellerup,0.631806194219707
C/2023 A2 (SWAN),0.6354060806838229
55P/Tempel-Tuttle,0.6420793575316268
P/2021 N1 (ZTF),0.6423833591272065
109P/Swift-Tuttle,0.6456578449375013
C/2021 D1 (SWAN),0.6507015149444965
197P/LINEAR,0.6593849349866918
107P/Wilson-Harrington,0.6601060639267058
8P/Tuttle,0.6603686888147715
79P/du Toit-Hartley,0.6618371831108681
C/2020 H4 (Leonard),0.6679476350273965
C/2020 R4 (ATLAS),0.6683486827987799
15P/Finlay,0.6862452300153719
46P/Wirtanen,0.6876650421688821
C/2021 F1 (Lemmon-PANSTARRS),0.6891610716365285
333P/LINEAR,0.6913288455837676
21P/Giacobini-Zinner,0.7010523247011929
405P/Lemmon,0.7011808168692829
P/2019 M2 (ATLAS),0.7046740898978714
104P/Kowal,0.7124764215717213
218P/LINEAR,0.7274783350798832
D/1894 F1 (Denning),0.7288699995875286
D/1952 B1 (Harrington-Wilson),0.729311275671386
103P/Hartley,0.7395037903218868
C/2020 A2 (NEOWISE),0.7439386749970067
C/2021 A4 (NEOWISE),0.7525470901040443
24P/Schaumasse,0.7536485612693667
C/2023 S2 (ATLAS),0.7596542749644821
C/2023 E1 (ATLAS),0.7627206911619729
263P/Gibbs,0.7953344245657668
384P/Kowalski,0.795939098527423
85D/Boethin,0.805402146215863
C/2009 G1 (STEREO),0.8062364105377043
P/2011 NO1 (Elenin),0.8094592524714131
P/1999 RO28 (LONEOS),0.8160652741142628
177P/Barnard,0.8269178193040254
